1000 Hills Distillery,Rwanda,1,5,40.67
10th Mountain,United States,4,0,0
10th Street Distillery,United States,9,8,85.96
12.05 Distillery,United States,7,0,0
1769 Distillery Inc.,Canada,3,4,80.33
18th Street Distillery,United States,5,0,0
2bar Spirits,United States,4,7,71.5
3 Badge Beverage,United States,14,107,81.68
3 Howls,United States,4,4,90.67
45th Parallel,United States,5,0,0
52eighty Distilling,United States,2,0,0
5Nines,Australia,8,0,0
66 Gilead Distillery,Canada,2,3,81
7K Distillery,Australia,4,0,0
A. Smith Bowman,United States,36,116,83.95
Abbeyhill Distillery,Scotland,0,0,0
Aber Falls Whisky Distillery,United Kingdom,1,4,86.5
Aberargie Distillery,Scotland,0,0,0
Aberfeldy,Scotland,428,6261,83.78
Aberlour,Scotland,1133,22993,84.92
Abhainn Dearg,Scotland,38,392,66.66
Acha,Spain,1,7,79.8
Achill Island Distillery,Ireland,0,0,0
Acre Distilling,United States,3,0,0
Ad Gefrin Distillery,United Kingdom,0,0,0
Adams Distillery,Australia,37,4,81.75
Adelaide Hills,Australia,4,2,82
Adirondack Distilling Co.,United States,3,0,0
Adnams,United Kingdom,15,105,74.06
Aecht Schlenkerla,Germany,0,2,61
ÆppelTreow,United States,1,0,0
Ærø Whisky,Denmark,11,6,85.89
Agárdi Pálinkafőzde,Hungary,2,7,73.88
Agder Brenneri,Norway,3,27,62.78
AGITATOR WHISKYMAKARE,Sweden,1,0,0
Aichinger,Austria,5,51,76.59
Ailsa Bay,Scotland,22,775,80.67
Aioi Unibio Co. Ltd.,Japan,5,28,75.68
Akkeshi Distillery,Japan,12,128,85.26
Alaska Distillery,United States,1,1,55
Albany Distilling,United States,4,2,70
Alberta Distillers Ltd.,Canada,57,399,83.66
Albyn Distillery,Scotland,0,0,0
Alchemy Distillery,United States,5,0,0
Alde Gott,Germany,4,14,81.35
Alex Clark Spirits,United States,2,1,83
All Points West,United States,1,0,0
Alley 6 Craft Distillery,United States,2,0,0
Allgäu-Brennerei Günther GmbH,Germany,5,20,70.45
Allt-a-Bhainne,Scotland,384,2921,84.14
Alltech Carlow Distillery,Ireland,0,0,0
Alpenwhisky-Destillerie,Austria,13,10,81.5
Alpirsbacher Klosterbräu,Germany,2,7,83
Alt Enderle,Germany,18,65,83.52
Alte Brennerei,Switzerland,1,1,72
Alte Hausbrennerei A. Wecklein,Germany,6,3,66.75
Altenburger Destillerie & Liqueurfabrik,Germany,0,2,72.5
Altore,France,3,7,65.88
Amador Distillery,United States,4,4,85
American Fifth Spirits,United States,2,1,70
American Freedom Distillery,United States,7,0,0
Amrut,India,481,9033,84.7
Anchor Distilling Company,United States,30,146,84.33
Andalusia Whiskey Co.,United States,4,1,45
Anglesey Môn Distillery,United Kingdom,2,0,0
Annandale Distillery,Scotland,64,580,83.04
ANNO 1940,Austria,1,1,89
Anno Distillers Ltd.,United Kingdom,2,0,0
Appalachian Distillery,United States,3,0,0
Applewood,Australia,1,1,62
Arbikie,Scotland,6,15,83.4
Arbutus Distillery,Canada,1,1,75
Archie Rose Distilling Co.,Australia,13,17,83.2
Arcola Distillery,United States,1,1,82
Arcus,Norway,6,40,79.36
Ardbeg,Scotland,2126,77692,88.12
Ardenistile,Scotland,0,0,0
Ardgowan Distillery,Scotland,0,1,82
Ardlussa Distillery,Scotland,0,0,0
Ardmore,Scotland,1337,13398,85.11
Ardnahoe Distillery,Scotland,0,0,0
Ardnamurchan,Scotland,46,1453,84.12
Argyll Distillery,Scotland,0,0,0
Arilds Vingård,Sweden,0,0,0
Arizona Distilling Co.,United States,6,1,76
Arizona High Spirits Distillery,United States,2,1,72
Armagnac Veuve Goudoulin,France,1,3,88
Arnsteiner Brauerei,Germany,1,0,0
Arran,Scotland,2022,31681,85.15
Artist in Residence Distillerie,Canada,1,0,0
Asaka,Japan,13,12,85.83
Ascendant Spirits,United States,7,1,86
Asheville Distilling Co.,United States,5,5,85.5
Astidama,Indonesia,3,11,73.36
ASW Distillery,United States,5,2,78.5
Auchentoshan,Scotland,1108,13360,83.82
Auchnagie,Scotland,2,4,83
Auchroisk,Scotland,600,4696,84.56
Augustus Rex,Germany,5,3,73.5
Aultmore,Scotland,789,6481,85.11
Aurora Spirit,Norway,6,105,79.34
Authentic Seacoast Distilling Co. Ltd.,Canada,4,4,79.25
Avadis Distillery,Germany,23,53,70.15
Axe and the Oak Distillery,United States,3,0,0
Az-Granata,Azerbaijan,2,0,0
bachgau-Destille,Germany,15,15,67.52
Backwoods Craft Spirits,United States,4,0,0
Backwoods Distilling Co.,Australia,12,3,80
Bad Dog Distillery,United States,1,1,60
Bad Kötztinger Bärwurz-Quelle,Germany,5,20,86.2
Badachro Distillery,Scotland,1,3,88.33
Badmils Black Distillery,Austria,3,1,84
Bainbridge,United States,5,3,86.25
Baker Williams Distillery,Australia,3,2,88
Bakery Hill Distillery,Australia,25,87,84.17
Balblair,Scotland,571,9024,85.81
Balcones Distilling,United States,150,1261,82.48
Ballindalloch,Scotland,0,24,90.77
Ballykeefe Distillery,Ireland,7,1,84
Balmenach,Scotland,508,3063,85.11
Baltimore Spirits Company,United States,3,5,77.89
Balvenie,Scotland,3116,23368,86.33
Bandon Distillery,Ireland,1,0,0
Banff,Scotland,163,2652,88.05
Bankhall,United Kingdom,1,0,0
Baoilleach Distillery,Ireland,3,0,0
Bardstown Bourbon Company,United States,21,32,88.09
Baronie Distillers,Netherlands,1,2,76.5
Barrel House Distillery,United States,3,0,0
Barton 1792 Distillery,United States,102,340,84.63
Basilico France,France,4,4,77
Basque Moonshiners,Spain,4,27,78.64
Batch 206 Distillery,United States,3,0,0
Bay Area Distilling Co.,United States,2,0,0
Bear Wallow Distillery,United States,5,0,0
Békési Manufaktúra,Hungary,7,21,64.68
Belgrove Distillery,Australia,37,29,87.25
Belle Isle Craft Spirits,United States,2,0,0
Bellerhof-Brennerei,Germany,17,14,71.63
Belmont Distillery,United States,1,0,0
Belmont Farm Distillery,United States,16,23,82.66
Ben Milam Whiskey Distillery,United States,0,0,0
Ben Nevis,Scotland,1408,28340,86.57
Ben Wyvis,Scotland,17,285,89.4
Ben Wyvis / Ferintosh,Scotland,2,2,92
Benachie Distillery,Scotland,2,0,0
